ProductName,SATID,Mode,Level,Status,FailedQC,QCProcessingTime(sec),QC1Status,NumberLostline,QC2Status,ViewingAngleAlongTrack,ViewingAngleAcrossTrack,QC3Status,MissingFile,ErrorFile,QC4Status,NoDataPercentage,QC5Status,CloudCoverPercentage,QC6Status,UsedCPF,QC7Status,Mode,QC8Status,PointingError
TH_CAT_201116065314459_1_1M_S1733899_R63167_08NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.223,PASS,0,PASS,-5.08124,0.519315,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[27, 255, 255, 255]",PASS,9999
TH_CAT_201116065331218_1_2M_S1733899_R63167_08NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],3.807,PASS,0,PASS,-5.08124,0.519315,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[27, 255, 255, 255]",PASS,9999
TH_CAT_201116065633307_1_1P_S1733922_R63167_08NOV2020,TH1,PAN,1A,NOT PASS ,['QC7Mode'],5.929,PASS,0,PASS,-5.056722,0.532393,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_201116065744296_1_2P_S1733922_R63167_08NOV2020,TH1,PAN,2A,NOT PASS ,['QC7Mode'],7.184,PASS,0,PASS,-5.056722,0.532393,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_201116065836428_1_1P_S1733923_R63167_08NOV2020,TH1,PAN,1A,NOT PASS ,['QC7Mode'],6.246,PASS,0,PASS,-5.056038,0.531548,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_201116065851314_1_2P_S1733923_R63167_08NOV2020,TH1,PAN,2A,NOT PASS ,['QC7Mode'],7.256,PASS,0,PASS,-5.056038,0.531548,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[255],PASS,9999
TH_CAT_201116070235402_1_1P_S1733949_R63167_08NOV2020,TH1,PAN,1A,NOT PASS ,['QC7Mode'],6.274,PASS,0,PASS,-5.055319,0.525067,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[46],PASS,9999
TH_CAT_201116070247871_1_2P_S1733949_R63167_08NOV2020,TH1,PAN,2A,NOT PASS ,['QC7Mode'],7.058,PASS,0,PASS,-5.055319,0.525067,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[47],PASS,9999
TH_CAT_201116070331518_1_1P_S1733950_R63167_08NOV2020,TH1,PAN,1A,NOT PASS ,['QC7Mode'],5.661,PASS,0,PASS,-5.055675,0.524894,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[44],PASS,9999
TH_CAT_201116070345963_1_2P_S1733950_R63167_08NOV2020,TH1,PAN,2A,NOT PASS ,['QC7Mode'],6.616,PASS,0,PASS,-5.055675,0.524894,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[44],PASS,9999
TH_CAT_201116070444637_1_1P_S1733951_R63167_08NOV2020,TH1,PAN,1A,NOT PASS ,['QC7Mode'],5.64,PASS,0,PASS,-5.05699,0.52649,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[42],PASS,9999
TH_CAT_201116070501392_1_2P_S1733951_R63167_08NOV2020,TH1,PAN,2A,NOT PASS ,['QC7Mode'],6.698,PASS,0,PASS,-5.05699,0.52649,PASS,[],[],PASS,[0.0],PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,[42],PASS,9999
TH_CAT_201203065355794_1_1M_S1742868_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.683,PASS,0,PASS,-0.821976,11.902893,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[54, 30, 46, 91]",PASS,9999
TH_CAT_201203065409469_1_2M_S1742868_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.298,PASS,0,PASS,-0.821976,11.902893,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[30, 54, 46, 92]",PASS,9999
TH_CAT_201203065508212_1_1M_S1742869_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.445,PASS,0,PASS,-0.826317,11.902361,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[59, 51, 35, 91]",PASS,9999
TH_CAT_201203065522371_1_2M_S1742869_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.336,PASS,0,PASS,-0.826317,11.902361,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[59, 51, 35, 92]",PASS,9999
TH_CAT_201203065845774_1_1M_S1742870_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.492,PASS,0,PASS,-0.832368,11.902396,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[60, 53, 37, 91]",PASS,9999
TH_CAT_20120306590176_1_2M_S1742870_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.453,PASS,0,PASS,-0.832368,11.902396,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[60, 53, 37, 91]",PASS,9999
TH_CAT_201203072339485_1_1M_S1742871_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.553,PASS,0,PASS,-0.834344,11.900499,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[60, 53, 37, 88]",PASS,9999
TH_CAT_201203072413634_1_2M_S1742871_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.513,PASS,0,PASS,-0.834344,11.900499,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[60, 53, 37, 88]",PASS,9999
TH_CAT_201203073105376_1_1M_S1742872_R63464_29NOV2020,TH1,MS,1A,NOT PASS ,['QC7Mode'],3.473,PASS,0,PASS,-0.839545,11.901094,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[60, 48, 36, 93]",PASS,9999
TH_CAT_201203073119285_1_2M_S1742872_R63464_29NOV2020,TH1,MS,2A,NOT PASS ,['QC7Mode'],4.221,PASS,0,PASS,-0.839545,11.901094,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,NOT PASS ,"[60, 36, 48, 93]",PASS,9999
TH_CAT_201203074052796_1_1M_S1742873_R63464_29NOV2020,TH1,MS,1A,PASS,[],3.592,PASS,0,PASS,-0.844671,11.899579,PASS,[],[],PASS,"[0.0, 0.0, 0.0, 0.0]",PASS,9999,PASS,THEOS_1_20200929_000000_20201001_000000.CPF,PASS,"[87, 86, 103, 75]",PASS,9999
